|2018-09-11|bcouetil|- Sample asciidoctor maven project -- published on Github - Github & LinkedIn links - Sample project tree
|2018-08-24|bcouetil|Icones added for download + favicon added for webpage
|2018-08-23|bcouetil|Initial commit
